Date, Status, Repeat, Weight, Elbow Angle, Current, Ring
2025-09-18 14:23:55.231,Extension,0,-96.84,169.84,16.1400,0
2025-09-18 14:23:55.232,Extension,0,-96.84,169.84,8.0700,0
2025-09-18 14:23:55.232,Extension,0,-97.80,169.84,5.3800,0
2025-09-18 14:23:55.232,Extension,0,-97.43,169.84,18.8300,0
2025-09-18 14:23:55.232,Extension,0,-97.24,169.84,10.7600,0
2025-09-18 14:23:55.232,Extension,0,-97.77,169.93,10.7600,0
2025-09-18 14:23:55.232,Extension,0,-96.56,169.93,5.3800,0
2025-09-18 14:23:55.232,Extension,0,-97.92,169.84,8.0700,0
2025-09-18 14:23:55.232,Extension,0,-98.00,169.84,13.4500,0
2025-09-18 14:23:55.232,Extension,0,-99.03,169.93,2.6900,0
2025-09-18 14:23:55.233,Extension,0,-99.93,169.84,13.4500,0
2025-09-18 14:23:55.233,Extension,0,-99.47,169.84,18.8300,0
2025-09-18 14:23:55.233,Extension,0,-98.06,169.93,10.7600,0
2025-09-18 14:23:55.233,Extension,0,-94.06,169.93,10.7600,0
2025-09-18 14:23:55.233,Extension,0,-94.46,169.84,16.1400,0
2025-09-18 14:23:55.233,Extension,0,-93.33,169.93,13.4500,0
2025-09-18 14:23:55.283,Extension,0,-95.07,169.93,8.0700,0
2025-09-18 14:23:55.283,Extension,0,-94.31,169.84,5.3800,0
2025-09-18 14:23:55.283,Extension,0,-95.42,169.84,16.1400,0
2025-09-18 14:23:55.283,Extension,0,-95.20,169.84,2.6900,0
2025-09-18 14:23:55.391,Extension,0,-94.47,169.93,8.0700,0
2025-09-18 14:23:55.394,Extension,0,-96.06,169.93,2.6900,0
2025-09-18 14:23:55.427,Extension,0,-94.73,169.84,2.6900,0
2025-09-18 14:23:55.465,Extension,0,-94.35,169.93,10.7600,0
2025-09-18 14:23:55.521,Extension,0,-93.27,169.93,13.4500,0
2025-09-18 14:23:55.569,Extension,0,-93.71,169.84,2.6900,0
2025-09-18 14:23:55.617,Extension,0,-92.72,169.93,18.8300,0
2025-09-18 14:23:55.655,Extension,0,-93.19,169.93,18.8300,0
2025-09-18 14:23:55.719,Extension,0,-93.97,169.84,2.6900,0
2025-09-18 14:23:55.761,Extension,0,-93.79,169.84,16.1400,0
2025-09-18 14:23:55.866,Extension,0,-94.00,169.93,10.7600,0
2025-09-18 14:23:55.871,Extension,0,-93.98,169.84,2.6900,0
2025-09-18 14:23:55.888,Extension,0,-94.35,169.84,5.3800,0
