Date, Status, Repeat, Weight, Elbow Angle, Current, Ring
2025-09-19 14:16:31.981,Extension,0,108.15,170.46,-94.1500,1
2025-09-19 14:16:31.981,Extension,0,-19.19,170.46,-86.0800,0
2025-09-19 14:16:31.981,Extension,0,-18.07,170.37,-94.1500,0
2025-09-19 14:16:31.981,Extension,0,-16.34,170.46,-96.8400,0
2025-09-19 14:16:31.981,Extension,0,-17.68,170.37,-94.1500,0
2025-09-19 14:16:31.981,Extension,0,-17.79,170.46,-96.8400,0
2025-09-19 14:16:31.981,Extension,0,-16.47,170.46,-96.8400,0
2025-09-19 14:16:31.981,Extension,0,-16.03,170.46,-83.3900,0
2025-09-19 14:16:31.981,Extension,0,-15.42,170.46,-96.8400,0
2025-09-19 14:16:31.981,Extension,0,-14.32,170.46,-80.7000,0
2025-09-19 14:16:31.981,Extension,0,-14.41,170.46,-88.7700,0
2025-09-19 14:16:31.981,Extension,0,-15.65,170.46,-96.8400,0
2025-09-19 14:16:31.981,Extension,0,-16.54,170.46,-88.7700,0
2025-09-19 14:16:31.981,Extension,0,-15.26,170.46,-96.8400,0
2025-09-19 14:16:31.981,Extension,0,-16.78,170.37,-80.7000,0
2025-09-19 14:16:31.981,Extension,0,-16.44,170.46,-94.1500,0
2025-09-19 14:16:31.981,Extension,0,-16.42,170.46,-96.8400,0
2025-09-19 14:16:31.992,Extension,0,-16.42,170.46,-94.1500,0
2025-09-19 14:16:32.038,Extension,0,-18.74,170.46,-91.4600,0
2025-09-19 14:16:32.082,Extension,0,-19.13,170.46,-96.8400,0
2025-09-19 14:16:32.131,Extension,0,-19.13,170.46,-94.1500,0
2025-09-19 14:16:32.184,Extension,0,-17.05,170.46,-88.7700,0
2025-09-19 14:16:32.228,Extension,0,-18.03,170.46,-88.7700,0
2025-09-19 14:16:32.273,Extension,0,-23.27,170.46,-86.0800,0
2025-09-19 14:16:32.339,Extension,0,-23.11,170.46,-96.8400,0
2025-09-19 14:16:32.364,Extension,0,-22.56,170.37,-91.4600,0
2025-09-19 14:16:32.423,Extension,0,-21.50,170.46,-99.5300,0
2025-09-19 14:16:32.465,Extension,0,-21.80,170.46,-96.8400,0
2025-09-19 14:16:32.525,Extension,0,-24.31,170.46,-91.4600,0
2025-09-19 14:16:32.555,Extension,0,-21.35,170.46,-94.1500,0
