Date, Status, Repeat, Weight, Elbow Angle, Current, Ring
2025-09-17 15:02:12.318,Extension,0,-58.64,170.10,-43.0400,1
2025-09-17 15:02:12.318,Extension,0,-9.17,170.19,-32.2800,0
2025-09-17 15:02:12.318,Extension,0,-9.04,170.10,-43.0400,0
2025-09-17 15:02:12.318,Extension,0,-8.82,170.19,-43.0400,0
2025-09-17 15:02:12.318,Extension,0,-3.46,170.19,-45.7300,0
2025-09-17 15:02:12.318,Extension,0,-5.97,170.10,-43.0400,0
2025-09-17 15:02:12.318,Extension,0,-12.57,170.19,-43.0400,0
2025-09-17 15:02:12.318,Extension,0,-11.73,170.19,-34.9700,0
2025-09-17 15:02:12.318,Extension,0,-1.61,170.10,-43.0400,0
2025-09-17 15:02:12.318,Extension,0,-1.61,170.19,-37.6600,0
2025-09-17 15:02:12.318,Extension,0,23.92,170.19,-34.9700,0
2025-09-17 15:02:12.318,Extension,0,23.92,170.19,-24.2100,0
2025-09-17 15:02:12.318,Extension,0,-21.12,170.10,-37.6600,0
2025-09-17 15:02:12.318,Extension,0,-22.44,170.10,-32.2800,0
2025-09-17 15:02:12.318,Extension,0,-16.97,170.19,-43.0400,0
2025-09-17 15:02:12.318,Extension,0,-10.36,170.19,-34.9700,0
2025-09-17 15:02:12.318,Extension,0,-20.46,170.19,-34.9700,0
2025-09-17 15:02:12.318,Extension,0,-18.58,170.10,-32.2800,0
2025-09-17 15:02:12.318,Extension,0,-17.81,170.19,-37.6600,0
2025-09-17 15:02:12.318,Extension,0,-15.83,170.10,-34.9700,0
2025-09-17 15:02:12.332,Extension,0,-18.70,170.10,-26.9000,0
2025-09-17 15:02:12.374,Extension,0,-19.25,170.19,-32.2800,0
2025-09-17 15:02:12.406,Extension,0,-16.74,170.19,-34.9700,0
2025-09-17 15:02:12.462,Extension,0,-13.65,170.19,-34.9700,0
2025-09-17 15:02:12.510,Extension,0,-14.34,170.19,-43.0400,0
2025-09-17 15:02:12.563,Extension,0,-18.15,170.10,-37.6600,0
2025-09-17 15:02:12.597,Extension,0,-16.20,170.10,-37.6600,0
2025-09-17 15:02:12.668,Extension,0,-16.74,170.19,-37.6600,0
2025-09-17 15:02:12.703,Extension,0,-16.04,170.10,-40.3500,0
2025-09-17 15:02:12.755,Extension,0,-21.24,170.19,-43.0400,0
